Id,content,Label
29,لا بلحق ياسر خوفتنى مال مانيش مروح لتونس تو نبقى مع خالتى فى فرنسا😢,Fear
30,فما حاجة وراك😮😮😮😢😢😢😅😅,Fear
31,فما حاجة وراك,Neutral
32,المفروض يعتز بالاكل التونسي كان جاوا يحب بلادهم,Neutral
33,وعليكم السلام ورحمه الله وبركاته عواشر مبروكه,Happiness
34,لاحول ولاقوة الابالله العلي العظيم الله يرحمهم مساكن مبروك عواشرك اختي نسرين عيد سعيد ♥️🌹♥️,Sadness
35,تبارك الله عليك الله يعطيك الصحة,Happiness
36,ادعو مع بنتي الله يجازيكم بالخير بالتوفيق اليوم تبلغت بخبر رفض او نتيجة اختبار او القبول لوظيفة وهي جد حززينة وبكات بزااف مسكينة في يوم العيد وعواشر وبكيت معاها وانا مريضة بكيت تنحس بلي بنتي ما عندها زهر يارب عوضها بالاحسن يا كريم وفرحها اللي شاف تعليقي يدعي معاها الله يرحم والديك ويرزقهم الجنة وعيد مبارك سعيد,Sadness
37,عيدك مبروك متتبعة من الجزائر ❤❤❤,Happiness
38,الله يبارك فيك,Happiness
39,مبروك عيدك وينعاد عليك بالصحة والهناء,Happiness
40,عيدكم مبروك ❤ تحياتي من تونس 🇹🇳,Happiness
41,مبروك عيدكم,Happiness
42,عواشركم مبروكة بالصحة و السلامة و طول العمر إن شاء الله و تحياتي لكل صناع هاد المحتوى في أرض الوطن و لا في بلاد المهجر ... الحمد لله الأجواء ديال العيد دازت بخير .. أما بالنسبة لهاد القضية فآش غادي نقول ليكم غير حسبي الله و نعم الوكيل السيد لمجرد أنه ما قدرش يتحكم في أعصابه ارتكب جريمة قد راسو ... 💔,Sadness
43,عيد مبروك🎉🎉تحية كبيرة من الجزائر ❤❤,Happiness
44,السلام عليكم ختي نسرين عيدك مبروك ❤,Happiness
45,أنا تونسيا و من المهدية ربي يخليكم,Neutral
46,تحيا السعودية راني نحبكم برشا من تونس,Happiness
47,تونس ديمه الكلام عندك يقول وش😂😂😂,Happiness
48,تحية من السعوديه لاهلنا واحبابنا في تونس الخصراء مرحبابيكم ايعيشكم اشنوا حوالكم خوتنا في تونس احنا باهين انتوما باهين زادا ههه قداش باهين خوتنا بتونس انتوما باهين برشا عسلامه باش نقولكم نحن من السعودية باش نحبكم برشا 🇸🇦❤️🇹🇳,Happiness
49, آخر شي بكلمة تونس كلها شين شين شين,Neutral
50,حرفياً تونس كل شي اخر حرف ش,Neutral
51,تونس لهجتهم تهبل الله يبارك تعجبني ياسر ❤ احلى تحيا من الجزائر ❤️🙏🏻❣️,Happiness
52,نشال لباس😂😂😂❤فلوجة❤❤❤,Happiness
53,شنو اسم المسلسل الله يعيشكم ❤❤❤,Neutral
54,قليل أدب تصرفو غير مقبول كاين بزاف تلاميذ هك ميقدروش الأستاذ ويضحكو الأستاذ بشر ويحرج كيفكم قدروه ❤,Anger
55,أعملوا مسلسلات باش تطلع بناتكم قحاب كيفكم,Anger
56,هذه اللهجة جميلة جدا بالتوفيق❤,Happiness
57,الله يبارك خاوتنا التونسيين 🇩🇿🇩🇿🇩🇿❤❤🇹🇳🇹🇳🇹🇳,Happiness
58,فتونس هكا تقراو زعمة ستيل ماريكان ههه,Happiness
59,تو فما شكون اسمي نوح في تونس ههه,Happiness
60,هناك قوانين يحال لها النلميذ الى مجلس التربية .لكن مش من ضربة الاولى ايامات من رجوع التلانيذ الى المعاهد من عطلة الصيف وبعض الاساتذة لم يلتحقو بالدرس بعد...علاش تعطيل سير الدروس وخلق جو يسوده مشاكل بالله ناقصين...الاولياء دافعين دم قلبهم باش يانجم يدخل تلميذ للقسم والمعهد ..كل شي غالي اغلب اولياء في قروض...شي يوجع القلب..والله...الانضباط اخلقوه في لباس وهندام وطبلية لي توصل للوسط..ومفتوحة للفتيات .ووو..اللمضباط اعملوه خلق اقسام مراجعة باش اولادنا ميتلوحوش في شوارع كيف الاستاذ اغيب او ساعة,Anger
61,احنا كمان في موريتانيا بنلبس اي حاجة المهم بس ان البنت تكون مغطية شعرها ولباسها محتشم والولد ميكونش لابس شورت او شعرو يتخطى وذانو,Neutral
62,حاول من قبلك ابنها المتبرجة بورقيبة والمقبور الاخر ولكن لم يستطيعوا ان ينزعوا الصلاة والدين من التونسيون فاعتبيري ايتها العلمانية المقلدة للباس الغرب,Anger
63,صلوا الفروض في وقتها وفي أي مكان وهذه عجوز شمطاء لا تلقوا لها بالا حي الله الشباب شباب الإسلام شباب الامه وعماده الله يوفقكم,Anger
64,مديرة تلبس لباس المراهقات تريد واحد يطحن طيزها ما تريد الشباب يصلي 😂😂,Disgust
65,من ليبيا الله يبارك فيك ويرحم والديك ارض الله,Happiness
66,اللهم بارك شوية شباب و بنات رجالة الله يبارك فيهم ❤❤❤,Happiness
67,ما شاء الله جيل صالح وواعي يا رب ثبتهم,Happiness
68,برافو عليكم يا شباب بارك الله فيكم,Happiness
69,مبروك عليها العالمية,Happiness
70,الله يبارك فيك يا ولدي تستاهل ملعونة,Anger
"71,""هاهم الشباب الرجال ليغرحونا ، ما شاء الله عليك يا راجل ."",Happiness"
72,حسبنا الله ونعم الوكيل هذي مديره متصهينه كافره المفروض تفرح موش تعارك و تعليم في صوتها ما تستحي الله ينتقم منها ما شاء الله علي الشباب ربي يحفظهم ويسلمهم,Anger
73,انضرو إلا لباسها وصيفتها لا تكونو مفاجءين عاءرا من العاءرات حسبنا الله ونعم الوكيل,Disgust
74,مع الاسف تونس تحكمها النسويه وين رجال تونس,Anger
75,الله اكبر الله يبارك فيك ويعزك,Happiness
76,وين شباب تونس وين رجالها افصلوها من المدرسه هاذي المره تحارب الله ورسوله,Anger
77,ما شاء الله لا زال فالامة خير,Happiness
78,اقيموا الصلاة كل يوم غصبا عنها لكي تتعلم ظمن هذه التجربة بأن تونس بلد مسلم...تحياااتي لكم بالتوفيق ياشباب... ستكتب لكم عند الله ج...هادا باذنه...,Neutral
79,في عهد بورقيبة وبن علي ما كانوا يخلوا الشباب تصلي الان ما شاء الله الشباب تصلي بكل الساحات الله اكبر,Happiness
80,برافو عليكم ياشباب,Happiness
81,والله رجال الله يبارك فيه وفي امثاله,Happiness
82,عندنا صهاينة اكثر من الصهاينة متع اسرلءيل هاذي لازم يرحلوها لااسراءيل موش تونسية الخامجة هاذي,Anger
83,عاشت ايدها مبروك على تونس وحدة مثقفة من مستنقع التخلف والغباء الاسلامي هنيال تونس فيك عاشت ايدج,Disgust
84,من لباسها تعلم أنها فاجرة متكبرة تصلح لان تكون مسيرة بيت دعارةً وليس مدرسة,Disgust
85,الله يبارك فيك وجميع من ينضم الى هذا البطل,Happiness
86,ما شاء الله عليه الله يثبته على الحق الله يهديها للرشد والصواب ويعافيها من هالمرض اللي هي عليه,Neutral
87,برافو عليكم ارض الله مش ارضها هذه ماتصلح مربية اجيال هذه تجلس بالبيت لان ضرها اكثر من نفعها,Anger
88,ربنا يحفظكم يا اولادي صلوا صلاتكم ولا تتركوها ... الصلاة هي عماد حياة الانسان ... نظموا وقتكم بالنسبة لصلاتكم وليس العكس ما شاء الله عليكم من الجزائر... ربنا يحفظكم اما هذه المديرة فيا ويلها من غضب الله,Anger
89,أولادنا ما شاء الله عليهم أما الست دي منها لله حسبنا الله ونعم الوكيل فيها,Anger
"90,""هؤلاء من بقايا أولاد فرنسا 🇫🇷 المنافقون والمنافقات في بلداننا العربية والإسلامية، ما تستحي بذلك اللباس الذي يظهر عورتها. سبحان الله العظيم الحياء زينة المرأة الحقيقي. She’s only changing the colour of her skin with these tight clothes!!! أستغفر الله العظيم"",Disgust"
91,ما شاء الله عليه يتمتع برجولة من الصغر,Happiness
92,برافو عليكم,Happiness
93,أهنئكم الله يبارك فيكم ويكتر من امثالكم,Happiness
94,المرأة التونسية في إنحطاط تام.. وكل يوم تخرج خامجة جديدة باللباس العاري في البلاطوهات و التلفزيون وحتى المنصات تسمي نفسها فنانة. 😢😢😢,Disgust
95,لاعجب عليها ان تمنع الصلاة فقد خلعت لباسها الاسلامي وتبرجت والعلم عند الله هل تصلي هذه السيده ام لا استغفر الله,Disgust
96,إقرا المكتوب من عنوانه لباسها فاضح غير مستور كيف تبونها تتقبل الصلاة وينكن تكون نصرانية او يهودية او متأسلمة,Disgust
97,ماقصرتو برافو عليكن خلي هي وغيرها من هالأغبياء يعرفو انو ماحدا بيثنينا عن صلاتنا,Anger
98,الله يبارك فيك وفى اللى ربتك,Happiness
99,الله أكبر الله يبارك فيكم الصلاة ثم الصلاة ثم الصلاة 🎉🎉🎉,Happiness
"100,"",هذو ابناء لليهود الله يبارك في اولدنا"",Anger"
"101,""ما شاء الله، تربية الأولاد تربية حسنة ربي يثبتهم ويرضى عنهم اللهم هب لنا من أزواجنا و ذرياتنا قرة أعين❤ اللهم صلى وسلم على سيدنا محمد❤"",Happiness"
102,جمال ما شاء الله تبارك الخالق باقة من الزهور 🎉❤❤❤,Happiness
103,اللي مع الترجي و تونسي يحط👇🩷,Neutral
104,ما شاء الله على بنات بلادي ❤❤❤🎉,Happiness
105,أنا من الجزائر الله يبارك على بنات تونس,Happiness
106,أنا من تونس نشيخ علاها عندك مشكل🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳❤❤❤,Anger
107,تحيه من تونس الى الجزائر الشقيقه احنا نحبكم برشا برشا❤❤❤,Happiness
108,😢😢😢😭😭😭❤🇮🇶 الله يبارك فيكم يا بنات 🧒 يا حلوات و عقبال الباقي و يارب يكون خير ❤,Sadness
109,ما شاء الله,Happiness
"110,""تحيا تونس الخضراء ، نحبكم برشا من ارض الرافدين"",Neutral"
111,أنا تونسي قبل تونس كان إسمها إفريقية,Happiness
112,تونس كان أسمها افريقية,Neutral
113,كان اسمها افريقيا ❤❤❤ أحب بلادي تونس ❤❤❤😊😊😊🎉🎉🎉,Happiness
114,تونس كان اسمها افرقيا,Happiness
115,تونس معناها عندي الحب ❤ربي يحفظك يا بلدي,Happiness
116,أنا من تونس🇹🇳🇹🇳🇹🇳وأنا نحبها برشا برشا,Happiness
117,أنا من تونس 🇹🇳 احبها برشا,Happiness
118,الحمد لله تونس ولت عندها شعبيه في اليوتيوب,Happiness
119,أنا نحب تونس 🇹🇳 برشا,Happiness
120,تحيا بلادي تونس 🇹🇳🇹🇳 نحبك برشا 😍,Happiness
121,تونس كان إسمها قرطاج أو أفريقيا,Happiness
122,و تونس كان أسمها لوبيا في عهد قرطاج,Happiness
123,من تونس بلدي و كان إسمها إفريقية,Happiness
124,تعرف أنو تونس كن اسمها قرطاج 🇹🇳 ؟,Happiness
125,مبروك 3000 الف مشترك❤,Happiness
126,الف مبروك حلوه❤,Happiness
127,جمال ما شاء الله تبارك الخالق باقة من الزهور 🎉❤❤❤,Happiness
128,اللي مع الترجي و تونسي يحط👇🩷,Happiness
129,ما شاء الله على بنات بلادي ❤❤❤🎉,Happiness
130,أنا من الجزائر الله يبارك على بنات تونس,Happiness
131,نسيم عبدك مبروك ❤❤❤😊❤❤❤😊,Happiness
132,الله يوفقك ويسعدك كنت عند كلمتك,Happiness
133,محلاااك والله ويعيشك على كل مجهوداتك❤❤,Happiness
134,انا من تونس احسن فيديوهات في العالم كله والله يعطيك الصحة برافو بليز جاوبزي,Happiness
135,بالله يبارك فيك شخنا على فيديواتك,Happiness
136,مليون مبروك يا 🎉 ناسيم,Happiness
137,اسمه gشاش الحوت هكا هكا يقولوله في صفاقس❤,Happiness
138,انشاء الله بالتوفيق ❤,Happiness
139,يعطيك الصحه ربي معاك فيبالك إلي انا تونسيه كيفك,Happiness
140,عيدكم مبروك,Happiness
141,إيعيشك نسيم على ختار نفضت وعدك,Happiness
142,راح نعطيك نصيحة أخوية. 😊😊استمر في مقاطع فيديو 24 ساعه. وبالتوفيق,Happiness
"143,""صحة صحة بالشفاء والهناء ليكم ,مغامرات رد بالك على روحك استحفظ على روحك بالتوفيق والنجاح"",Happiness"
144,ما شاء الله صحة و فرحة 🐠🐟,Happiness
145,خويا نسيم بش نقترح عليك تصور فيديو في المهدية بحرها باهي برشا نتصور تلقى أسماك,Happiness
146,يعيشك يانسيم طلعلي كومنتاري ماك تقراهم الكل بالله إجى لبحر سيدي عبد الله بالشابة أسإل عليه وإجا وبالله أعمل فيديو بش تزيد تأكد لناس إنو ما فماش حكاية القرش في الشابة,Happiness
147,ام شي صفاقس بحر و مهديت,Happiness
"148,""تبارك الله عيك ما شاء الله ربي يحفظك، محتوي ممتاز جدًا، لاكن انصحك يا نسيم ان تعمل ترجمة بالانجليزية على محتواك حتّى تكبر قناتك و يصل محتواك الى العالم و لا يكون مقتصرًا الاّ في تونس"",Happiness"
149,ياخويا نسيم تحياتي ليك من تبسة جيرانكم حبيت نطلب منك تصطاد لي هديك الصدفة الي فيها لؤلؤ من الداخل يعيشك اقرأ تعليقي راني شحال وانا متمنيتها,Happiness
150,انا زدا كيفك انحب لبحر. تنمشي مع عايلة لبحر سوسة. شط مريم زعم نلقى. مخلوقات بحري؟,Happiness
151,يا نسيم خويا شوفلنا كيفاش تلقالنا سلحفاة بحر تحبو نشوف فيديو كامل على سلحفاة البحر فما برشا اماكن تلقاها فيها مثل جزيرة قوريا بالمنستير 😊❤👏👏,Happiness
152,ولدي تغرم بالبحر على خاطره يتفرج على فيديواتك ربي يخليك ❤❤❤,Happiness
153,يعيشك يا نسيم على هالفيديو مش نورمال يهبل ربي يفضلك لنا 😊😊😊❤❤🎉🎉🎉❤❤❤,Happiness
154,الله يبارك ربي يدومها إن شاءالله,Happiness
155,الله يبارك ما أجمل أن تأخذو راحة بعد اختبار صعب أو ضغط دروس🎉😊,Happiness
156,ما شاء الله يا منى الله يحفظك ❤ حبيبتي,Happiness
157,الف مبروك حبيبتي,Happiness
158,مبروك عمرك نفس عمري❤❤🎉🎉,Happiness
159,ألف ألف 🎉🎉🎉 مبروك ❤,Happiness
160,أحلى منئ جميله أميرة الشاطرة الذكية حلوة حفلتها صاحبتها😊❤هي على راحتك على كيفك￼😊 يا عمري❤😊,Happiness
161,الف. الف. مبروك. مبروك❤❤❤,Happiness
162,انا عندي هكا,Happiness
163,ألف مبروك 🎉🎉,Happiness
164,١ مبروك العيد انت اختك ا لاله ومبروك مبروك العيد ومبروك عليك اسمحي لي راهي الغلط,Happiness
165,ما شاء الله البنت مؤدبة الله يحفظها لك,Happiness
166,ما شاء الله هذا كنز مو هديه ههه,Happiness
167,منى❤❤❤ ❤❤❤انا اسم بلقيس من تونس,Happiness
168,الف مبروك نشالله 😊😊😊,Happiness
169,ما شاء الله يا مدلعه ههه😂,Happiness
170,مبروك,Happiness
171,الله يبارك ختي,Happiness
172,انا نفسى فى هدية زيها 😔 * ما شاء الله,Happiness
173,بسم الله ما شاء الله صلاة النبي,Happiness
174,1000 مبروك,Happiness
175,منى كيفك ممكن تعمليلي هديه,Happiness
176,اي ما شاء الله انا بس يصير عيد ميلادي يقولولي كبر جحشنا سنة,Happiness
177,ذكية ما شاء الله,Happiness
178,المحتوي لي هكا علاش ما يتشهرش أكثر في تونس ؟,Happiness
179,مرحبا كيفك اخوي انا من فلسطين كيف بتقدر تساعدني في التقديم لجواء لا كندا,Happiness
180,انشاء الله بالتوفيق,Happiness
181,تونسي عندي شهادة في البناء,Happiness
182,كيفك,Happiness
183,انا مروان من صفاقس عندي شعد في نخار,Happiness
184,يعيشك خويا,Happiness
185,بالتوفيق للجميع إنشاء الله,Happiness
186,زعمة مكانش الخدمة الله يذلك ماشي تساسي زلابية متاع تونس,Happiness
187,هي قسمة و نصيب اما نفس الشيء الله غالب نفس سيستام . كان تحب تخدم في تونس صعيب . اما كان عندك شكون في la tunisie حاجة اخرى .,Happiness
188,عجبني كي قال سافرت بصح غي فالجزائر 😂 والله كامل كيفكيف طبنا فيها,Happiness
189,تونس مزيانة وباهية برشا برشا تحياتي من الجزائر نحبوكم بزاااف بزاااف❤❤❤,Happiness
190,🇹🇳🇸🇦🌹🫶عيدكم مــبـارڪ🫶🌹🇸🇦🇹🇳 احفاد الصحابه المرابطين والموحدين قلوب الرجال وعزة الاسلام اخواننا بتونس الحبيبه اهلنا رجال الصمود والنخوة والشهامة 🫶🇹🇳🇸🇦🇹🇳🇸🇦🇹🇳🇸🇦🇹🇳🇸🇦🫶العزة للّٰه ثم رجال الاسلام والعروبه اهلنا اخواننا التوانسه ايه نعم اي وربّٰ الكعبه يشهداللّٰه انتم رجال الصمود وغيرة وحمية الاسلام يعيشكم تحيا تونس والجزائر وليبيا دمار لدول الكفر وعزة لنا وغزة والمسلمين🇸🇦🫶🫶حبكم بقلوبنا اللّٰه اكبر اللّٰه اكبر اللّٰه اكبر لااله الااللّٰه اللّٰه اكبر اللّٰه اكبر وللّٰه الحمد,Happiness
191,ما شاء الله تلك الحي أغلى من ميزانية الجزائر المنكوبة التي تعاني من الطوابير و الجوع و الاحياء المهمشة القصدرية الهشة 😮,Happiness
192,جمال ما شاء الله تبارك الخالق باقة من الزهور 🎉❤❤❤,Happiness
193,اللي مع الترجي و تونسي يحط👇🩷,Happiness
194,ما شاء الله على بنات بلادي ❤❤❤🎉,Happiness
195,أنا من الجزائر الله يبارك على بنات تونس,Happiness
196,ما شاء الله ربي يباركلو على صدقوا إن شاءالله و إن شاء الله بش نمشي نجربها أنا نحب لبلايص كيما هكا,Happiness
"197,""الله يبارك ، روعة"",Happiness"
198,برافو عليك النجاح ينبع من داخلنا وتراثنا من اي بلد كان الشخص الله يرزقك ويرزق منك يارب اعجبتني محافظه على لهجتها ماكائنها اتغربت واعجبني كلامها ثقافتها وإمتنانها للبلد اللي هي فيه وشكرها لرب العالمين سبحانة,Happiness
199,ههه وليبيا وين خليتها و معلوماتك الجغرافية ضعيفة ...يعيشك برشا برشا اليوم عرفتك معلومة جديدة عن المغرب العربي.,Happiness
200,أولا العلم غالط هذا علم تركيا 🇹🇷و هذا علم تونس 🇹🇳 ثانيا تقولو الفيديو باش يعجبك برشا برشا ماهوش يعيشك برشابرشا الفيديو باش يعجبك كسرتها كرايمها اللغة ماتعرفش تستعمل الكلام التونسي ماتستعملهاش و أحكي عادي التونسا ذكين يفهمك حتي لو تحكي هندي,Happiness
201,علم تونس🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳✅ صحة و بالشفاء الكسكسي و العجة و المرقاز و الهريسة العربي👌🌶🌶برشا برشا 😎👍,Happiness
202,آني من تونس وعايش فالرياض أضاك علاش إسمي نعيم مبروك ❤أبنسب تونس أحسن بلاد الناس فيه باهين برش ويحب بعضهم كيف لخوات قدرولي تعبي بشوي لايكات,Happiness
203,معلوماتك غالطة تونس أقدم بلد في شمال أفريقيا و المطبخ التونسي مستوحة من منتجات الفلاحية المتميزة بها تونس إيطاليا أخذت الباستا من بنزرت لأنها تونس معروفة بانتاج ارفع أنواع الطماطم المعروفة باحمرارها ليست مثل الطماطم الأوروبية و تونس معروفة باقدم و أحسن أنواع القمح الصلب و الشعير و زيتون معروفة به تونس من ارفع و أقدم زيتون و كانت تسمى في عهد الرومان مطمور روما... مع كل احترامنا للجيران لكن المطبخ التونسي يدرس فالعالم...,Happiness
204,إن شاء الله لباس هذا موش علم تونس 🇹🇷. هذا هو العلم التونسي 🇹🇳,Happiness
205,🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳 موش 🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷,Happiness
206,هذا موش علم تونس 🇹🇷 😂 🇹🇳 هذا هو علمنا,Happiness
207,ينفع ولا ماينفع المهم عندهم ناس متعلمة وقمة في العلم والخلق ماهمش كيفك فجعاتك بطنك 🇹🇳🇱🇾,Happiness
208,أنا تونسي . و نقلك عندك الحق😅,Happiness
209,تونس 🇹🇳 مفها شي حلو 😂اصلا 😢مع احترامي للتونس😅,Happiness
210,ان شاء الله مبروك عليكم الطهور و الحمد الله علي الدين الاسلام,Happiness
211,ماشاء الله ❤ عجبتني كي فسرت علاش محبيتش الماتشا بالتوفيق,Happiness
212,الحمد الله يا ربي لباس علينا بربي يزي من البڤ...يزيو من المقارنات بجاه إلي خلقكم,Happiness
213,الله يبارك تحيا الجزائر و شعب الجزائر في ضل الوحدة الوطنية المجد و الخلود لشهداءنا الأبرار.,Happiness
214,جلسي ف بلادك علاش داخلة تونس 😂😂😂,Happiness
215,حاجة مما فهمتش كيفاش الوجهة المفضلة لي الجزاىرين يروحو التونس,Happiness
216,تحيا تونس تاريخ و الحاضر و المستقبل قاهرة الجرذان كي هيا غاليا و ماهيش عاجبتك تونس علاش جايا شدو بلادكم معادش تجيو مرخصكم تجيو لتونس تزاحمونا في مستشفياتنا و فنادقنا و مبعد تسبونا خليك في حوشكم احسن سياحة للاجانب أفضل من مليون عربي ناتن عايشين بالصرف متاع منحة بطالة و الفقر و تحل في كشختك علي اسيادكم مشكل في ديناركم رخيص كيفكم,Happiness
217,الله يبارك عندهم وحد القبول,Happiness
218,تونس ياتونس... علاش نحبكم؟,Happiness
219,المحير والذي أمقته اتسعمال الجزائريين الفاظ فرنسية رغم أن العربية لها ميزة نزل بها القرآان والأخت ما شاء الله لباس محتشم للغاية معذرة.,Happiness
220,دراهمنا طايحين ختي ماشي الأسعار في تونس غالية,Happiness
221,في تونس مفماش زواولة كيفكم,Happiness
"222,""عواصم العالم الكل غالية لأن المعشية غالية واي انسان يختار العاصمة يعرف علاش قادم والاغلبية لباس عليهم ،والزوالي أختار ،انا لا اقبل الإهانة بتونس وتبقى احسن دولة في الدول العربية وفي العالم ❤"",Happiness"
223,شفت البغض لي في ليكومنتار من التوانسة وللاسف كنت في تونس منذ 3 ايام وبغضهم بدا علينا ملجدود وروح وشفت الزوالي التونسي يخرج في خيرات بلادي قدام عينينا عايشين من خير بلادنا ويعايرو فينا طيرو لسما ماتلحقوش حتى تراب الارض لي يمشي عليها الجزائري كيفكم كيف الجوارين لخرين حقوديين كثر خير دزاير لي راها حالة الحدود تاكلو منها الخبز وتعمرو في ليسونس والمازوت كلش شفته بعيني الغاز هو تالي ماعندكمش في دياركم جيعانين وطالابين وتعايرو في سيادكم,Happiness
224,الحمدالله هنا عايشين و لباس و الحمدلله,Happiness
225,من المفروض ما تهدرش تجيبولنا العين دراع فال ما شاء الله وخلاص التوانسة راهم عايشين معانا منا منهم,Happiness
226,ممكن متابعة الله يبارك فيكم خاوتي ♥️♥️♥️,Happiness
227,الزيت تع تونس وتعنا مشي كفكف لهذا السبب فهو باهظ الثمن حتى الاشياء لذكرتهم ماشي كفكف,Happiness
228,شروط اللباس الشرعي للمرأة المسلمة 1- استيعاب جميع البدن إلا ما استثني. 2- أن لا يكون الثوب زينة في نفسه. 3- أن يكون صفيقاً لا يشف. 4- أن يكون فضفاضاً غير ضيق يصف.,Happiness
229,ما شاء الله ربي يحفظكم تهبلو كلام موزون و تواضع و ثقة بالنفس و افتخار ببلد الشهداء الجزائر,Happiness
230,كيفاش تونس ولاية جزائريه,Happiness
"231,""ما هذا اللباس الأفغاني، جاو من أفغانستان 🇦🇫؟"",Happiness"
232,كنتم ديمه الجزائريين اقوى بلاد في العالم ودائما انتم ما فماش كيفكم رحمه ربي اقوى شعب في العالم,Happiness
233,بالتوفيق للجميع🇩🇿🇹🇳😍,Happiness
234,❤❤❤ شبات تقول قمرات الله يبارك 🇩🇿🇩🇿🇩🇿,Happiness
235,والله عيشين ولباس لكن فما نا س مالفا بالتسول من الصغر سلالة في عايلتتهم او بل احر في اصولهم,Happiness
236,ما شاء الله تبارك الرحمن على بنات الجزائر الحبيبة,Happiness
237,الله يبارك ❤❤,Happiness
238,بصح عندكم واحد الملفوف الله يبارك,Happiness
239,الله يبارك ساترين رواحهم,Happiness
240,المعيشة عندنا ولا عندهم كيف كيف حن حنا لمعيشة صعابت غير لي لباس عليه لي راهو عايش,Happiness
241,علاه تضبحو علينا علاااه الله يبارك على بلادنا وصح عام لي فات كي دخلت للحدود بكيت,Happiness
242,انت. علاه. رايحة لتونس,Happiness
243,عنددك الحق انا رحت هربت تحيا الجزائر كلش غالي في تونس ارجهت روحت وهرن ما شاء الله المطاعم ما شاء الله رغم اني اعيش في الغربة تحيا الجزائر بلاد الخير,Happiness
244,بلاهي تعيش في بلاد الفقر كيفنا كيفكم وجاية تفشلم تي بري فلوسكم ودراهمكم صفر ماتجي شيء طايحين مايسواو فرنك ودينارنا طالع يا ذكية وعايشين والحمد الله ببركة ربي وخير بلادنا,Happiness
