id,content,label,cleaned_length
34,عايز كتاب دماغ وعي أساس البرمجة الذهنية في علاج نفسي دكتور وزي عبد الرحمن,neutral,73
35,كتاب ذكريات طفولة,neutral,17
36,عايز اعمل مادة علمي رمجة عقل هل حد قدر ساعدى في مصدر,neutral,52
37,كرة نادي بحث موضوع مبهم عام,neutral,27
38,هل سأم عدم علو مسلم في مجال علمي تكنولوجي إذ كان ذالك فشارة,neutral,59
39,أشعر حصى أو رمل جبس بعد أسبوع وضع هل طبيعي,neutral,42
40,تذاكر حفل ترافس سكوت ابو ضبي,neutral,28
41,سلام على هو هو صانع محتوى ماعندي متابع اهواي الي أحب دعم اسن قناتي يوتيوب كله صار شكل لد كارتوني لابس جيشي اني ألعب هواي لعب,neutral,124
42,كيف تجاوز شخص اختفى حياة فجأة دون وداع دون تفسير,neutral,48
43,محتاج حل لأن مشكلة صار فوق طاقتي,neutral,32
44,هل هنا عشق فن تسويق مثلي نتواصل نتبادل فكر,neutral,42
45,تعليم عربي فصحى طفل,neutral,19
46,قدم نفس كبيعة بل قدم نفس وليصة تأمين ضد مشكلة قلق,anxiety,49
47,بحث قصة فصلية عراق صفحة قصة الفيسبوك مدينة سماوة اسم شخصية يوسف ونجمة,neutral,69
48,تعنصر ضد مستخدم غير ذكاء إصطناعي كا محادث طبيعي,neutral,47
49,قناة جديد قدم محتوى ترفي قصة ممتع تعالو كبر هو بعض! المحتوى يا جماعة هو أد قناة جديد اليوتيوب حاول قدم هو محتوى ترفي ممتع ملي قصة قصير موقف حقيقي غريب قناة هو بداية هو اشتراك أو تعليق هو بيساعدني أطر هو استمر أكثر,neutral,213
50,أول موضوع هو ريديت فلسطين أبد,neutral,29
51,هو هدف كمسلم,neutral,12
53,احتاج مشاركة هو هٰذا استبيان غرض بحث تخرجي رجا مساعدة,neutral,53
54,كيف اتخلص مراقب جوالي,neutral,21
55,سلام عليم انا شخص عندو إحلام غريب اريد شخص لدى نفس إحلام نتناقش,neutral,63
56,هل قام جوجل ترجمة شكل صحيح لغة عربي,neutral,35
57,أفضل تطبيق فضفضة متوفر مملكة عربي سعودي هو أعطى أولوية خصوصي قبل شيء,neutral,68
58,توقع ذهب واصل صعود خلاص,neutral,23
59,هل فعل تغير حياة هو بعد ٢٠١٩ سبب موبال,neutral,38
60,انا مدمن إباحي وعادة سري,neutral,24
61,تعافي ماضي عماد رشاد عثمان,neutral,26
62,احتيج مساعدة رنامج تلغرام,neutral,25
63,مقارنة سيطة متاجر إلكتروني سوري صراحة متجر دمشق إلكتروني أفضل تجربتي,neutral,68
64,حياة زوجي فارق عمر كبير,neutral,23
65,انا عندي منتج رقمي زولة مهتم,neutral,28
66,استبيان لغة عربي لعب إلكتروني,neutral,29
67,غرق ليس سقوط ماء أحد وصف سمكة غارق ككن هو غرق هواء غرق سقط مكان ليس لك لدى قناك التلكرام شارك هو افكاري سعد هو حق أن أردتم ماضي أن دعموني,neutral,137
68,سبب ضغينة عربي,neutral,14
69,شأك انو ابوي مسحور,neutral,18
70,كيف قال تم فعلى شيء لو زال نقص عيبة خلل,neutral,39
71,أمن تخاطر,neutral,9
72,مسلم حط رأس هو رأس صين روسيا أمريكا,neutral,35
73,مين عرف فات عالدار,neutral,18
74,ذهب ليرة بريطاني,neutral,16
75,معانات كامرة إباحي,neutral,18
76,صيني قديم وجد هو منزل شخص إسكندافي إحدى دولة إسكندافي نقش ظاهر صورة مكتوب خط عربي مزخرف إذا إمكان كما قراءة عبارة منقوش,neutral,119
77,ممكن اعرف رايكم حجر انجذب للمغناطيس,neutral,35
78,مشكلة تكبر إنسان,neutral,16
79,ماذا المحتوى عربي تحت زنار,neutral,26
80,رأية سريري آخر زل حاول تنفس,neutral,27
81,مين شخص لي راهن على هو,neutral,22
82,مرحبا احتاج مساعدة,neutral,18
83,أنا كان اختبار إسلامية جاوبت غلط طريقة سيئ هل نتيجة الي طلع اختبار إسلامية درجة محسوب زي حسنة الي بقي,neutral,101
84,عودة بعد طلاق هل نجح,neutral,20
85,تطبيق احتياج ذات إعاقة بصري حركي استخدام أداة تجميل مملكة عربي سعودي,neutral,68
86,رأي تأثير تحذير بنك إنجلت را سوق ذهب,neutral,36
87,ألوان عربي نادر,neutral,15
88,شو أكثر كلام جارح اتقال هو,neutral,26
89,جماعة كيف حال انا ابغا صيغة إيميل احترافي تقديم ظية خايف اكون مرتب هو طريقة غلط فالي قدر أفاد أرسل باله,neutral,103
90,هو صنف ضمن شخصي قويه,neutral,20
91,موسم ثاني حاجة حفيظة منشدة نورهان كليلة ضيافة يا مداحين محمد الحسينى,neutral,68
93,ابغا افتح طلب رسم احتاج نصايح,neutral,29
94,تساؤل أيوب حين طبع حل ليش غير بعد مودة خصام يا خل رقع,neutral,53
95,ليش نلاحظ كثر شب عربي أسان حياة متذمر وضع معيشي,sadness,47
96,انا صراع نفسي,neutral,13
97,هل هو شخص جيد,neutral,13
98,أي حد حابب حكى,neutral,14
99,لهم صلى سلم نبينا محمد,neutral,22
100,سلام على هو مستخدم جديد هٰذا موقع,neutral,33
101,يا نفسي تهلكيني,neutral,15
102,مجتمع عربي مختص سياسة تاريخ حاضر,neutral,32
103,دليل مجتمع سعودي,neutral,16
104,انهيت صداقة سنة سبب مخدر,neutral,24
105,قفزة ١٧،٥٥٠ ٢٣ ٤٠٠,neutral,18
106,مكان مميز شرقي,neutral,14
107,سفر بين معدن شخص,neutral,16
108,انصحوني كيف أشال فكر اني أرجع أدخن مرة ثاني,neutral,43
109,دعى على هو قلبي,neutral,15
110,الفلوس ساوى مكانة اجتماعي,neutral,25
111,نقاب دولة خليج,neutral,14
112,ابوي طردني بيت ابي انتحر,neutral,24
113,لي محد تكلم شعور,neutral,16
114,مرض جديد زي كوفيد,neutral,17
115,مستقبل وظيفة جدة,neutral,16
116,هل ممكن اتوظف غير معرفة,neutral,23
117,عين شقد خوف هو قاد صاحب هو,anxiety,26
118,تغدى فيني قبل اتعش هو,neutral,21
119,تخيل وقت ملكه قالك انا أبغا علاق خفيف مو مستعد اتحم بكج مشاعر درام,neutral,66
120,حبيت واحد موكفو سحب علي,neutral,23
121,كيف أقنع امي,neutral,12
122,صحيت ضيقة الصدر,neutral,15
123,سؤال عادي أم غريب,neutral,17
124,كيف ممكن أزيد معدل ذكائي,neutral,24
125,اختصار استفزن,neutral,13
126,بوست لزكاة علم,neutral,14
127,وش وجهة نظر هو لذا شيء,neutral,22
128,ابغى موقع ملبس حصل ملبس ماكس سنتر بوينت زارا رشك هو بعض,neutral,55
129,اخوي فصلني شركة,neutral,15
130,كيف سحب فلوس,neutral,12
131,لما درى أن ال وقلة ثقه مرتبط بعض شيء بدأ صار منطقي,neutral,50
132,مين زيي صار فكر كذا,neutral,19
133,إذا سعودية تزوج أجنبي تخلى جنسية هو بعد انفصال استطاع استرداد جنسية هو سعودي شرط إقامة مملكة عربي سعودي,neutral,103
134,شركة وسيد إنفيديا تعاون تطوير تكنولوجيا قيادة ذاوتي متقدم,neutral,57
135,ليش اصحى عالمنب,neutral,15
136,النت سعودي وحش لية,neutral,18
137,هل انا تم استغلالي,neutral,18
138,وش الشي الذي مارح كرر عيال,neutral,26
139,معلمة جميل دميه جديد فن الايمجرومي,neutral,34
140,ليش إذا زاد حرارة شخص تكلم نايم,neutral,31
141,إحباط تهريب شحنة مخدر,neutral,21
142,موضوع النقاش مو كل انا أقصد فئه,neutral,31
143,تقديم طريق موقع شركة,neutral,20
144,دوام جزئي دوام طالب,neutral,19
145,إذا عرف أحد صم أو ضعيف سمع,neutral,26
146,نقل شرقي قريب اخوياي أهلي زارن اعطوني اقتراح,neutral,44
147,هل تعلق شخص ابتلاء أم قلة إيمان,neutral,31
148,ذكر يوم تيجي قناة سبيستون,neutral,25
149,سؤال البرمجه مبتدئ ماتعف زم صار ون هو ازرق مو عارف مشكله,neutral,56
150,اللٰه أدرى سؤالي غبي بس ساعد كفى,neutral,32
151,شب بنت ابي هو,neutral,13
152,فلير سياسة الجيران جديد عشان وستات خبر برى,neutral,42
153,أرجل إنسان كتير,neutral,15
154,متحف مصري جديد انا مش مصري,neutral,26
155,راء طب احنا استفدنا,neutral,19
156,أقفل ترند على هو,neutral,16
157,فين إنجاز كدا استفدنا إيه,neutral,25
158,مصري النهاردة بكرة,neutral,18
159,إنسان دي هتتسلسل كام يوم ساعة بكرة,neutral,34
160,استغلال براندة مصر,neutral,18
161,بس صراح رايقه,neutral,13
162,معادي افتتاح متحف قناة الذي اهتنل افتتاح,neutral,40
163,فرحة أجدادي فراعنة الدعوه عام هتب لمة عنى لو عندك معبد أقفل لو بناء إهرام أجل متحف كبير بيفرح,joy,93
164,سؤال النقاش مين اكتر صانع محتوى أو إعلامي تشوف عرض حكومة السيسي عايزين بعد عشرة خمستاش سنة عيال هو فتح الصب شوفى قايمة المعرصين على ايامنا,neutral,138
165,طبقية النيولبرالية مصرإيجبت مهرجان الجونة مدخل,neutral,46
166,ميدان نيل بعد تطوير مدينة مني,neutral,29
167,مين قالك أن مصر ناقص هو متحف,neutral,28
168,صياح عرب أجل غزة عشان مسجد مش عشان إنسانيه دليل محدش مهتم سودان,neutral,63
169,اللٰه لو حظي أي مكان هايك أحسن مصر,neutral,34
170,رحلة ثورة مستمر مفيش فايدة,neutral,26
171,خصوص إنسان الذي صاح على موضوع متحف,neutral,34
172,متحف مصري كبير هل أعاد كتابة علاقة مصري تاريخ هو عربي,neutral,53
173,كم كلف زيار أسبوع مصر وايش أفضل مكان زار هو,neutral,43
174,شرك محل السجاير,neutral,15
175,حاجة جديد أعمل هو مصر جديد التجمعمدينة نصر,neutral,42
176,متحف مصري كبير تيك توك,neutral,22
177,ستور لبيع اللابات,neutral,17
178,هل مصر هيا نفس مصر اللي انا إنتا نشوف هو,neutral,40
179,جبنة الرومي جبنة مصري مش تصنع مكان عالم غير مصر,neutral,47
180,اللٰه عظيم هنعمل طيب,neutral,20
181,هل أمكن انصحن مزيد الموسيقى زي مولاي هو أبك سطت يد شيخ النقشبندى,neutral,64
182,رايك علم مصري اعذروني سؤال,neutral,26
183,لماذا تحرك مصر غزة سودان حماية أمن هو قومي أجاب المتنبي,neutral,55
184,موقف محرج عمري هنساه,neutral,20
185,فكر محتوى صحه نفسي,neutral,18
186,تفرق الاوڤر الي وصل حتا إبادة زي غزه سودان,neutral,42
187,شب مصري احتفل افتتاح متحف مصري كبير,neutral,35
188,في درك الاسفل شاء الله,neutral,22
189,دخلي آخر شهر جنية مفروض اني سن جواز,neutral,35
190,امتى نقدر نروح متحف كبير,neutral,24
191,حبيبة هو سودان فلسطين,neutral,21
192,مش أحسن نبقى زي مصر عراق,neutral,24
193,لي معظم عرب رافض اتحاد إقامة قومية مبني لغة,neutral,43
194,بوست مهم اللي تعلم ألماني,neutral,25
195,عاوز اعرف أكتر شوز أو سليبر مريح,neutral,32
196,جميل يا مصر عشان بس الرولز,neutral,26
197,ربنا كان عون مواطن سويسري الي مش لاقي حاجة افتخر بيها,neutral,53
198,متحف مصري جامد فشخ يا جدعان والله,neutral,33
199,يوم على افتتاح متحفنا,neutral,21
200,تركي ميعرفش أن عدد زائر سيد البدوي ده بيكى يوم واحد,neutral,51
201,رأيك الذي قال أحمد شرع,neutral,22
202,لي دلوقتي شخص افتخر حضارة تاعة تبصل نظرة مش كويسه,neutral,49
203,تضامن خوت هو مستضعف,neutral,19
204,سودان مش حتة مننا,neutral,17
205,لي حد فشل علاقة شتم رجالة عكس,neutral,29
206,مين إنسان اللي أبسة فورمال طريق محور,neutral,36
207,شوية ضحك غزال رايقه,joy,19
208,عايز اعرف رأي إنسان هنا حوار لاجئ لو حد رأي منطقي قاله,neutral,54
209,انا متأكد يا بلحة رمسيس تاني لو عايش دخل في سودان وقف حرب مكنش هيعمل افتتاح ذٰلك فلسطين,neutral,87
210,ملكة نفرتيتي ثاني,neutral,17
211,هل احنا مش متعاطغ سودان عشان لون بشرة,neutral,37
212,حول قوه إلا باله,neutral,16
213,طريقة تصدي تحرش في مكان عام,neutral,27
214,متحف مصري كبير,neutral,14
215,حد عرف شركة ماركة نج كويس,neutral,25
216,هما مسؤول حمير,neutral,14
217,عريس مشكوك بأمره,neutral,16
218,ممكن اعتبر هو رسالة يوم,neutral,23
219,مين إنجليزي واقع أل نفس طويل,neutral,28
220,تبا السيركت حد عارف حل الهبل,neutral,28
221,بدي مكان قعد هو عمان حالي بدون احس حالي مضطرب اجتماعي,neutral,53
222,شو تعمل وقت فراغ هو,neutral,19
223,شو أفضل نشاط مجلس طالب أفاد قبول جامعي,neutral,38
224,سؤال لاصق النيكوتين حد جرب هو فعلي أردن,neutral,39
225,قرر اترك بعد ستة سنة,neutral,20
226,شو نظرة هو شخص ولي بروح أو راح إخصائي نفسي,neutral,42
227,مكان تبادل كتاب,neutral,15
228,الي صارى عمر التلاتين سا درسو كيف استمر,neutral,39
229,نصيح صانع محتوى لعب أردني قدر قدم هو,neutral,36
230,قصة كادر طبي شارك موقفك الي تنسى,neutral,32
231,عندي جيتار حد هو هو حاب أبيع لأنى خدم حد فكرة هو ممكن أبيع وين,neutral,62
232,موسيقى وسط بلد,neutral,14
233,تحذير معالج نفسي طب نفسي الاونلاين مرة ثاني عرف عالفاضي,neutral,55
234,عجيبة لغة عربي,neutral,14
235,كيف ممكن اجيب ارشيف صوت جزيرة محمد عبده,neutral,39
236,موجود رديت ملحد مشتق,neutral,20
237,ليش قلة دين منتشر والتبرير,neutral,26
238,كلف تغيير شاشه تلفى هواوي,neutral,25
239,جوانبك مخفي جميع,neutral,16
240,جرب اطبخ لاول مرة بحياتي,neutral,24
241,الفيديو وحيد مسجج نبأ دقة هجوم حماس أكتوبرتشرين أول مسبق ينايركانون ثاني,neutral,72
242,صوت ناعم وانثوي,neutral,15
243,ليش سهرانين الحلوين,neutral,19
244,توضيح بيان رسمي العشيرة,neutral,23
245,شو تعمل وقت اكتئاب مزاج سيئ,sadness,27
246,مستشفى جامع أردني,neutral,17
247,ين قدر الاقي كتاب هاد اونلاين,neutral,29
248,شو سبب هاي أزمة,neutral,15
249,تخصص أو جامع,neutral,12
250,إيش مخطط هو الويكند,neutral,19
251,اشتاق عمان دخل آر جوردان بروح اشتياق,neutral,36
252,بيني وبين تخصص الي بدي يوح علامة,neutral,32
253,بكر دوام خميس,neutral,13
254,مش قادر ادرس مخي رح انفجر,neutral,25
255,محاولة هو تفكير جنس آخر,neutral,23
256,حب البنت الكيرفي أكتر حاجة أحب هو البنت الكيرفي البنت الكيرفي أكتر حاجة حبي هو فيكي,neutral,83
257,زواج حب ودي اتزو حب بس ماني عارف كيف تعرف شخص توافق معي نية نظيف صادق احس صعب مجتمع هو مره,neutral,90
258,انا رجل واحب طفل وش اسوي لي فترة طويل انا دي أجاب طفل لأن أحب هو مرة طبع حب عادي مب بيدو ككن هاذي يوم أحس رغبة تضافع عندي مقدرة حالي أن اتزوج أي حلول اقتراح,neutral,156
259,لسه عند مشعر أول حب حياة هو أعذر على تقليب موجع بس مش لاقي محتوى,neutral,64
260,حب قائد عيدا كون أغلب تعليق ذباب إلكتروني أو إشخاص دار فتنة هل صار حبنا قائد هو عيب أو ذلة بعد وفر هو حياة المثالية أمن إمان تعليم صحة أمكن أن احتاج إنسان ياشيخ إذا كذا تعريف هو ذلة وطن دعس على تراب وطن بفمي,neutral,207
261,قال مرة واحد مسيحي حب دعى بص السما يا جماعة تمويه تكتيكي عشان محدش عرف أن كنيسة بتمولنا,neutral,87
262,إيش سبب حب أم عيال هو انا مو قاعد تكلم حب أم طبيعي جميع طفل هو أقصد حبهم خصيص إولاد خصوص العاق دايم حبى لد معين ولد هو برر شي عادي طق خون بس خون مايطقونهوعادي إذا أعجب شي حق خون أخذ هو أعطى اياه,neutral,194
263,سن كلنا طيبين دايما متجمع على حب مصر,neutral,36
264,في حب راجل بجد محاضرة جميل إلا عمل هو,neutral,37
266,بدون علاق حب اعرف هو مجتمع محافظ أي اختلاط طرف آخر مستحيل كثير حولي قصة حب ناجح كفى هو عارفين بعض مزية عيب تاريخ هو شخصي عائلي خلاص وافق اتزان علاق صار ارتباط ذالك جاني تساؤل ليش مر صار لي كذا فكرت عنى انا مب شخصي متطلب حاج بس أمكن حاط حد أكثر ماحب هالسوالف بس شكل هو طريق صحيح لو حد واضح لأن نجن مايي اتزو تقليدي لو وشو شخص مجهول مجرد راتب هو كلم جاري هو أجودي مايع هو وش جل انقذو وين نلاقي رجل لأن مستحيل اعطي وجه احد بدوامي أمكن اسجل شيء تطوع مشترك بس احس مافي وقت متى نف هو بعض ونشوف توافق إهداف مشترك,neutral,505
267,حد غيري قدر أخد دوا حب زم كان حبة صغير غير هيك قدر أتوقع سبب نفسي عندي نقص زنك بس مو لاقي زنك حبة صغير أسمع مرة اعطوني حديد حبة صغير كمان,neutral,137
268,لو ناوى تجوز حب ليك مبدأي اكونت مش حقيقي لأن موضوع صعب أشرح الاكونت تاعي انا فشل جواز بعد سنة معافر أتجوز واحد مطلق معي هو طفلين وكن مبسوط بي هو جد ود جواز حب حارب اهلي عشان هو صغير اتظلمت أو ده الذي ظاهر وقت هو عشان كان ادق طلق هو دكتور هو جامعة أكبر هو سنة حبينا بعض أتجوزنا أمي مش راضي عنى شاب شكل كويس سن صغير مهندس رمجة ابن ناس كمان محبوب هو سحل نفس سحله دي نشف دماغي لاول مر قول لامي أخرج هو يارية هو ماقو كده صدمتي مراتي هو مش مسيطر على كلام هو معظم وقت مش عارف قال مقدرتش الذي أي حاجه الذي عملة هو عشان هو مقدرتش الذي اني راعى ربنا عيال هو فضل أعملة هو أرضى بعد خلف هو مبفرق هو التلات عندي لي هو نفس حق غلط اهلي كتير قدامي مجرد هو كان رافى هو صحيح مبدأ تاع اهلي رجعي شوية هو لي هو وجهة نظر مختلف مكانوش عاوزين قال هو صريح فا تحجج مطلق متنفعش ود الذي خلاني تمسك برأى هو كنت مبسوط جد اني أخد خطوة دي وانقذت طفلين كان على كبر شوية هيلاق ابوهم مات لأن كبير غير مش موجود أصل سأل هو صرف على هو بعد جازية قبل ولد هو ملايكة حبان جد ميعرفوش آب غيري ود اللي مصعب موضوع عليا مراتي مؤخر تعامل أمر واقع على أهلي هو جوا زور هو يدو هو عيديات أجاب هدية حين أن ابوهم شخصي أهل مبيسألوش هو عاب اهلي عشان مبيسالوش لادي هو انا أبويا كتر خير عامل ليا انا واحد أخواتي شقت بية جديد سبب اختياري مكنش نفع أخد هو عاش نفس بيت بدأ هو حياة هو إيجار مدة سنة ونص كان اسوء سن نص حية طول ليل نهار ماسكاني هو مرة خوت أحسن مني عشان قعد ملك هو إيجار انا ناقص أنا اللٰه حب أجرح هو غير هو مكنتش مستعجل على جواز أصل أهل هو الذي شجعوني قالولي مش مشكلة قعد إيجار طالما بنى نفس هو مهم زنقت نفسي عشان بحب هو بيع عربيتي حطي اللي حيلة شقه ملك عشان متبقاش أقل حد طلع هو عيب دني دين هو هو مقعد هو خرابة سبب موضوع شقة زنق نفسي دخل دين هو مش عارف أخلص هو هدد سبب هو بدأ كارثة ظهر معارر صريح ندم هو هو سابت دكتور أتجوز حيالل مهندس اشتغل عالنت قرف مستمر شهر مؤخر بقت تقولي أهلك جوا رما عمل قدام شقتي عشان أصاب هو فقر طيب انا لي تكلم هنا بوست شوفة شوية سأل مين اعز هو اختك مراة انا كتب كلام عشان محدش نسى أن مفيش احن دم اختى فكر تيجي زور مشى مراتي تعملي مليون حوار دي صتلي بصة وحشة دي قال مش عارف دي جايه يد هو فاضي هو حين أن اختى اللي دايم أسأل هو حين هو جي اتجوز نفضت اهلى أول هو اختى الذي أقرب هو ليا عشان فرقة سن صغير مش عاوز أطول على هو بس شوية افتكر حاج وجع هو واحنا صغير أبويا قرص عليا عشان أنشف أبقى راجل كان دخل اوضتي اقعد اعيط كنت بلاقي اختى جايه لاماك طبطب عليا حين أن مراتي الذي مفروض كان شرع اقرب ليا اختي تشوفني متضايق مخنوق تيجي كمل عليا مهم انا واخد قرار طلاق بس صعبان عليا لادي هو ابني الذي ربنا رزقني بي هو أذن اللٰه هوصل حل عتر إطالة البوست مش عشان خاف بي أي حد فيفر تجوز إطلاق جواز لي مميز كتير بس شريك صحح فا لو هتج واحد ظرف دي انصحك فكر كتير سأل هو اكتر لأن أي اتفاق هيص انكوى ممكن جد تنسى لو حس شبه طليق هو أي حاجه طبيعي احنا بشر مشترك طباع كتير توفيق يكم جميع,anxiety,2638
269,حب فخامة رئيس بلبيسي للي مش عارف السيسي قدم اعتراض مجلس نائب قانون إجراء جنائي عشان سمح تحقيق متهم منغير المحامي تاع اللي السيسي عمل جانب سجين رأي اختفاء قسري تعذيب سجن سجن احتياطي مدة شهر أو اكتر وقت الذي شعب هلل السيسي طبع بعد سنة كامل سكة انتهاك إسرائيل خرق هو معاهدة سلام تطبيع معى هو شفاء,neutral,293
270,وجد فرقة زواج تقليدي أو حب سلام على هو بداية موضوع انا غير متزوج عمري ٣٣ سنة حبيت اعطي خلفية نفسي عشان اخذنى جدية مر بس وجهة نظر اعتقد وجهة نظري فرقة أبد زواج حب أو تقليدي حقيقة قبل عاش تحت سقف واحد مافي شي حقيقي قبل بدد مسؤولية توزع هو حسب اختصاص احد كله كلام فاضي نشوف غير مسلم غرب تحديد دخل علاق ساون شي سوى متزوج بعض هو وصل أن كان هو اطفال لحم اللي تزوج بدد مشكلة توصل طلاق لأن زواج عقد مغلظ جدي مو لعب طبع قال كلام لايي شخص اعتقد أن حل زواج حب أو غير إلان حنا زمن اقدر قال الاغلب ككن أقل محيط كثير اخذى وقت هو وقت خط تعرف بعض مهم أن طرف عرف وش تناقش تخلي هو كلام حب عاطف هاذي جأى وقت كان موده أساس كم قبول وقت صلى شكر,neutral,622
271,بوست حب حليب شوكولات,neutral,20
272,هل زواج حب أخلى البنت راعى ظرف زوج تقليدي أخلى هو قص هو قص سؤال يوم,neutral,67
273,بوست حب شيخ سمير مصطفى فك الله أسرة يا أخى اللٰه عارف سبب وراء حبى وحب كثير شب شيخ دا كلام أثر كبير جد قلبي أسلوب مريح نفسي حزن جد اللٰه شوف مثل شيخ سمير سجن شعر إستياء ككن لعل عسى دا اختبار عمري شوفت فيديو أو حاجة أدان أو تخلي تسجن كلام كله مؤثر شب ال أعرف كثير أنا ضمن هو درس سبب رقة قلبي توفيق الله أسأل الله فك أسرة جلسة قادم حشر هو جنة,sadness,340
274,حب المسامط يوم شهد مسمط سيدة زينب على هو يا ابو العيال تحبى أكسورات عجل,neutral,71
275,قصة زواج حب بس طريقة حلال الله عافى هو هو رومانسي ميؤوس هو حرفي حلم أدعى زواج كان حب بس طريقة حلال بس اللٰه درى وين بدأ شي ذا هو أتكلم رجل ضرورة لو قال نكتة ضحك هو فصر أتيسة موضوع ذا ممكن صار اكتب لي قصة هو حلال كيف عرف كيف صار هو موضوع كيف حافظة كان حلال محتاج أمل مناسبة مو أطلب تعارف أو خطبة رأى هو صغير ذا شي أحد انزلق خاص الله أرضى هو,joy,339
276,أول حب سلام على هو رحمة اللٰه بركة انا عندى شي جديد صار حياتي توقع صار معي شي مشاب حياتي إلا حب وكن أشوف كلام فاضي انا تخرج قبل سن موظف إحدى جهة رنامج خريج مع هو وحد بنت برنامج بينا أي شي جذب أبد صار معى نفس إدارة فريق آخر بعد ،اول ثلاثة شهر بينا أي شي وقت بنت مال هو صار أجمل بعيني بدأ عجب أكثر ناحية جمال ناحية شخصي ذكاء ضحك هو ابتسام هو يوم صرى هو نفس الكورس نفس طاولة بعد هو انا بدى اتعدى مرحلة إعجاب بعد فترة أذكر حلم هو وقم نوم سعيد إلى آن شاف حب بعدة فترة جتى دوام احتاج شغل عمل حاول أساعد هو مدى لأن موضوع شخص آخر قال خلاص شكر لأن قدر هو بديل وقف هنا ورحت حاول أدبر موضوع هو قدر أساعد هو أرسل هو إيميل خلص دوام مشيت رد على قال شكر بعد ساعة أرسل لي واتس كان ادورك ابي أشكر قصر هو بعد هو قاعد ساعة مبسووط جد أيضا إلى آن منب مستعوب حب إلا بعد فترة أحلم هو ثأني حسي شي غلط عندي لأن وضع عندي صار مر وشف هو انبسط تحسن مزاجي بعد فترة تفكير اكتشف اني خلاص غرق حب هو أيضا ذاك يوم رح ادور لي أي شيوالشغل عشان راح سؤل هو وقع يوم كامل افكر منفس بعدين سويت خطة رح سأل هو اعدتني الصدق اني كان مبسووط اني سولف هو كمل يومي ذاك يوم سعيد جد حكم اني تأكد اني حبية هو طبيعي بعد حب وش خطوة قادم تعرف على هو أكثر بعد هو زواج لهو طاقة اوجههى تشبيك بنت وقلة حي إلى آن حياة ردي نجي مشكلة أول مشكلة إلا أن بنت متفتح انا جاي بيئة محافظة عنى مثل انا طول عمري ابي أن زوجة كان منقبة بنت محجب مب هنا مشكلة بعد بحث تحري حصل حساب بنت السوشال ميديا قيت أن البنت تغطى نهائي خارج مملكه الذي جلطني احس عادي تقبل الشي اني شاف غلط بديت فترة أخير احس عادي مهب شي كبير اهم شي محترم أصلى مسمل مشكله ثاني إلا أن بنت عائلة ناسب هو ناحية نسبة عرف عندنا سعودية شي مهم جد مشكلة ثالث ادري إذا بنت اصلن مهتم هو أو طقت لي خبر نهائي أيضا انا معي احد أجنبي دوام مسلم سأل رأي موضوع شجع قال طبيعي رح كلم هو قل هو ذا كلام قلت مشكلة قالي موضوع سيط آخر طبيعي نسبة حكم طول حية بلد أجنبي عموم وش اسوي حين انا صدق مستعد أوقف قدام اهلي أكل هو أصمل على هو أب هو طبع انا ابي إلا حلال مادري هل استاهل هل وافق أصل الصدق اني ادعى صلاة فجر أن اللٰه رزق زوجة صالح هو كان زوجة صالح عموم آخر أسبوع انا شبه توهان نص اكتئاب غير افكر هو,sadness,1971
277,خلاص لقي حب حياتي رسمي,neutral,22
